,player_name,player_extended_name,nationality,position,overall
5187,Yumlu,Mustafa Yumlu,Turkey,CB,71
5188,Bergdich,Zakarya Bergdich,Morocco,LWB,71
5189,Burmeister,Felix Burmeister,Germany,CB,63
5190,Allsop,Ryan Allsop,United Kingdom of Great Britain and Northern Ireland,GK,64
5191,Mantom,Sam Mantom,United Kingdom of Great Britain and Northern Ireland,CM,66
5192,Timor,David Timor Copoví,Spain,CM,71
5193,Neumann,Sebastian Neumann,Germany,CB,69
5194,Sobota,Waldemar Sobota,Poland,LM,70
5195,Milton Raphael,Milton Raphael Guimarães Pires,Brazil,GK,64
5196,Königs,Marco Königs,Germany,ST,62
5197,Lavanchy,Numa Lavanchy,Switzerland,RWB,66
5198,Routis,Christopher Routis,France,CB,65
5199,Lacroix,Léo Lacroix,Switzerland,CB,70
5200,Höfler,Nicolas Höfler,Germany,CDM,72
5201,Joronen,Jesse Joronen,Finland,GK,71
5202,Brown Forbes,Felicio Brown Forbes,Costa Rica,ST,62
5203,Pervan,Pavao Pervan,Austria,GK,71
5204,Eastman,Tom Eastman,United Kingdom of Great Britain and Northern Ireland,CB,65
5205,Forster-Caskey,Jake Forster-Caskey,United Kingdom of Great Britain and Northern Ireland,CM,67
5206,Cuevas,Juan Ezequiel Cuevas,Argentina,RW,73
5207,Paterson,Jamie Paterson,United Kingdom of Great Britain and Northern Ireland,LM,71
5208,Pérez,Marco Pérez,Colombia,ST,72
5209,Van Damme,Joachim Van Damme,Belgium,CDM,68
5210,Christiansen,Tonny Brochmann Christiansen,Denmark,CM,63
5211,Coosemans,Colin Coosemans,Belgium,GK,69
5212,Tutte,Andrew Tutte,United Kingdom of Great Britain and Northern Ireland,CM,60
5213,Diallo,Zakaria Diallo,France,CB,68
5214,Jankowski,Maciej Jankowski,Poland,ST,66
5215,Kappelhof,Johan Kappelhof,Netherlands,CB,69
5216,Bonevacia,Roly Bonevacia,Curaçao,LM,70
5217,Boilesen,Nicolai Boilesen,Denmark,LB,72
5218,Jozefzoon,Florian Jozefzoon,Netherlands,RM,70
5219,Benson,Robbie Benson,Ireland,CM,66
5220,Ortega,Stefan Ortega,Germany,GK,72
5221,Larsen,Nicolai Larsen,Denmark,GK,67
5222,Sarcevic,Antoni Sarcevic,United Kingdom of Great Britain and Northern Ireland,CM,64
5223,Te Vrede,Mitchell te Vrede,Netherlands,ST,67
5224,Bunoza,Gordan Bunoza,Bosnia and Herzegovina,CB,68
5225,Lindberg,Jonas Lindberg,Sweden,ST,63
5226,Leugers,Thilo Leugers,Germany,CDM,67
5227,Cawley,David Cawley,Ireland,CM,60
5228,Salomão,Diogo Ferreira Salomão,Portugal,LM,72
5229,Mokhtar,Youness Mokhtar,Morocco,LM,72
5230,Mellor,Kelvin Mellor,United Kingdom of Great Britain and Northern Ireland,RB,63
5231,Lowe,Jason Lowe,United Kingdom of Great Britain and Northern Ireland,CDM,67
5232,Rivierez,Jonathan Rivierez,France,RB,69
5233,Darikwa,Tendayi Darikwa,Zimbabwe,RB,71
5234,Soares,William Soares da Silva,Brazil,CDM,70
5235,Żyro,Michał Żyro,Poland,ST,68
5236,Halvorsen,Ole Jørgen Halvorsen,Norway,RM,66
5237,Silva,Marcelo Silva,Uruguay,CB,69
5238,Rienstra,Ben Rienstra,Netherlands,CM,70
5239,Te Wierik,Mike te Wierik,Netherlands,CB,71
5240,Pranter,Benjamin Pranter,Austria,CAM,66
5241,Cavanda,Luis Pedro Cavanda,Belgium,RB,70
5242,Bodin,Billy Bodin,United Kingdom of Great Britain and Northern Ireland,RM,69
5243,Douglas,Barry Douglas,United Kingdom of Great Britain and Northern Ireland,LB,73
5244,Mcgregor,Darren McGregor,United Kingdom of Great Britain and Northern Ireland,CB,66
5245,Makuszewski,Maciej Makuszewski,Poland,RM,67
5246,Melia,Tim Melia,United States of America,GK,73
5247,Eicher,Vitus Eicher,Germany,GK,67
5248,Skrzybski,Steven Skrzybski,Germany,ST,73
5249,Trapp,Maurice Trapp,Germany,CB,69
5250,Mcglashan,Jermaine McGlashan,United Kingdom of Great Britain and Northern Ireland,RM,61
5251,Douglas Vieira,Douglas da Silva Vieira,Brazil,ST,69
5252,Pulido,Jorge Pulido Mayoral,Spain,CB,72
5253,Ince,Tom Ince,United Kingdom of Great Britain and Northern Ireland,CAM,72
5254,Walker,Sam Walker,United Kingdom of Great Britain and Northern Ireland,GK,64
5255,D'Haene,Kristof D'Haene,Belgium,LB,70
5256,Antonis,Terry Antonis,Australia,CM,70
5257,Ko Kyung Min,Kyung Min Ko,Korea (Republic of),RM,62
5258,Lee Jae Kwon,Jae Kwon Lee,Korea (Republic of),CM,64
5259,Nam Joon Jae,Joon Jae Nam,Korea (Republic of),RM,67
5260,Kim Won Il,Won Il Kim,Korea (Republic of),CB,68
5261,Lee Yong,Yong Lee,Korea (Republic of),RB,70
5262,Lee Jae Myung,Jae Myung Lee,Korea (Republic of),LB,63
5263,Hong Jeong Ho,Jeong Ho Hong,Korea (Republic of),CB,74
5264,Ha Sung Min,Sung Min Ha,Korea (Republic of),CM,59
5265,Yoon Bit Garam,Bit Garam Yoon,Korea (Republic of),CM,68
5266,Ziereis,Markus Ziereis,Germany,ST,62
5267,Mcdonald,Rod McDonald,United Kingdom of Great Britain and Northern Ireland,CB,64
5268,Ilicic,Josip Ilicic,Slovenia,CF,84
5269,İşcan,Eray İşcan,Turkey,GK,62
5270,Power,Max Power,United Kingdom of Great Britain and Northern Ireland,CDM,68
5271,Hernandez,Moises Hernandez,Guatemala,LB,65
5272,Ulloa,Victor Ulloa,Mexico,CDM,70
5273,Zhang Linpeng,Linpeng Zhang,China,CB,71
5274,Feng Renliang,Renliang Feng,China,RW,61
5275,Rashid,Osama Rashid,Iraq,CM,73
5276,Leonard,Ryan Leonard,United Kingdom of Great Britain and Northern Ireland,CDM,68
5277,Jarl,Daniel Jarl,Sweden,CB,61
5278,Tafazolli,Ryan Tafazolli,United Kingdom of Great Britain and Northern Ireland,CB,66
5279,Marsman,Nick Marsman,Netherlands,GK,67
5280,Merkel,Alexander Merkel,Kazakhstan,CM,69
5281,Beretta,Giacomo Beretta,Italy,ST,65
5282,Siemaszko,Rafał Siemaszko,Poland,ST,61
5283,Aydogdu,Soner Aydogdu,Turkey,CM,71
5284,Hope,Hallam Hope,United Kingdom of Great Britain and Northern Ireland,CF,59
5285,Davies,Adam Davies,United Kingdom of Great Britain and Northern Ireland,GK,70
5286,Hammar,Johan Hammar,Sweden,CB,63
5287,Piergianni,Carl Piergianni,United Kingdom of Great Britain and Northern Ireland,CB,63
5288,Mejías,Tomás Mejías Osorio,Spain,GK,63
5289,Isaac Cuenca,Joan Isaac Cuenca López,Spain,LM,72
5290,Heneghan,Ben Heneghan,United Kingdom of Great Britain and Northern Ireland,CB,63
5291,Watson,Ryan Watson,United Kingdom of Great Britain and Northern Ireland,CM,56
5292,Lundstram,John Lundstram,United Kingdom of Great Britain and Northern Ireland,CM,67
5293,Cigerci,Tolga Cigerci,Turkey,CDM,71
5294,Moore,Liam Moore,United Kingdom of Great Britain and Northern Ireland,CB,73
5295,Bešic,Muhamed Bešic,Bosnia and Herzegovina,CM,72
5296,Haugen,Fredrik Haugen,Norway,CM,70
5297,Christie,Cyrus Christie,Ireland,RB,71
5298,Clarke-Harris,Jonson Clarke-Harris,United Kingdom of Great Britain and Northern Ireland,ST,67
5299,Thomas,Conor Thomas,United Kingdom of Great Britain and Northern Ireland,CM,61
5300,Robertson,Clark Robertson,United Kingdom of Great Britain and Northern Ireland,CB,68
5301,Néry,Loris Néry,France,RB,66
5302,Smallwood,Richard Smallwood,United Kingdom of Great Britain and Northern Ireland,CDM,67
5303,Freeman,Kieron Freeman,United Kingdom of Great Britain and Northern Ireland,RWB,68
5304,Crescenzi,Alessandro Crescenzi,Italy,RB,69
5305,Ehmer,Max Ehmer,Germany,CB,66
5306,Obita,Jordan Obita,United Kingdom of Great Britain and Northern Ireland,LB,69
5307,Quiroga,Mauro Quiroga,Argentina,ST,70
5308,Nelson,Curtis Nelson,United Kingdom of Great Britain and Northern Ireland,CB,66
5309,Jenkinson,Carl Jenkinson,United Kingdom of Great Britain and Northern Ireland,RB,70
5310,Keohane,Jimmy Keohane,Ireland,CDM,61
5311,Hoban,Patrick Hoban,Ireland,ST,69
5312,Baldock,George Baldock,United Kingdom of Great Britain and Northern Ireland,RWB,69
5313,Gigliotti,Guillaume Gigliotti,France,CB,63
5314,Morris,Josh Morris,United Kingdom of Great Britain and Northern Ireland,LM,67
5315,Crawford,Ali Crawford,United Kingdom of Great Britain and Northern Ireland,CM,67
5316,Murray,Sean Murray,Ireland,CM,63
5317,Stancu,Bogdan Stancu,Romania,ST,73
5318,Radut,Mihai Radut,Romania,LM,65
5319,Salvi,Alessandro Salvi,Italy,RB,70
5320,Knasmüllner,Christoph Knasmüllner,Austria,CAM,72
5321,Schipplock,Sven Schipplock,Germany,ST,67
5322,Rühle,Tobias Rühle,Germany,ST,64
5323,Banks,Ollie Banks,United Kingdom of Great Britain and Northern Ireland,CM,65
5324,Tremolada,Luca Tremolada,Italy,CAM,70
5325,Fran Cruz,Francisco Pablo Cruz Torres,Spain,CB,65
5326,Mccarey,Aaron McCarey,Ireland,GK,59
5327,Könnecke,Mike Könnecke,Germany,CAM,66
5328,Hemlein,Christoph Hemlein,Germany,RM,66
5329,Thomalla,Denis Thomalla,Germany,ST,68
5330,André Martins,André Renato Soares Martins,Portugal,CM,73
5331,Corgnet,Benjamin Corgnet,France,CAM,69
5332,Ogier,Florent Ogier,France,CB,70
5333,Lawless,Steven Lawless,United Kingdom of Great Britain and Northern Ireland,RWB,65
5334,Dumitru,Nicolao Dumitru,Italy,LM,67
5335,Schulze Niehues,Maximilian Schulze Niehues,Germany,GK,65
5336,Zahustel,Ondřej Zahustel,Czech Republic,RB,68
5337,Chergui,Malek Chergui,France,RM,65
5338,Yi Teng,Teng Yi,China,CB,65
5339,Djuricin,Marco Djuricin,Austria,ST,66
5340,Carole,Lionel Carole,France,LWB,72
5341,Dejaegere,Brecht Dejaegere,Belgium,CM,73
5342,Kaiser,Dominik Kaiser,Germany,CM,70
5343,Kern,Timo Kern,Germany,CM,66
5344,Laverone,Lorenzo Laverone,Italy,RB,68
5345,Kopacz,Bartosz Kopacz,Poland,RB,66
5346,Szumski,Jakub Szumski,Poland,GK,62
5347,Allan,Scott Allan,United Kingdom of Great Britain and Northern Ireland,CAM,70
5348,Powell,Nick Powell,United Kingdom of Great Britain and Northern Ireland,CAM,72
5349,Słowik,Jakub Słowik,Poland,GK,66
5350,Pawłowski,Bartłomiej Pawłowski,Poland,RM,71
5351,Kalas,Tomáš Kalas,Czech Republic,CB,72
5352,Přikryl,Tomáš Přikryl,Czech Republic,RM,72
5353,Janicki,Rafał Janicki,Poland,CB,65
5354,Colin,Maxime Colin,France,RWB,71
5355,Boucher,Zacharie Boucher,France,GK,70
5356,Le Bihan,Mickaël Le Bihan,France,ST,72
5357,Frydrych,Michal Frydrych,Czech Republic,CB,73
5358,Forenc,Konrad Forenc,Poland,GK,62
5359,Bryła,Patryk Bryła,Poland,LM,63
5360,Donnarumma,Antonio Donnarumma,Italy,GK,66
5361,Henry,Doneil Henry,Canada,CB,69
5362,Kamber,Janick Kamber,Switzerland,LWB,64
5363,Memushaj,Ledian Memushaj,Albania,CM,72
5364,Barkhuizen,Tom Barkhuizen,United Kingdom of Great Britain and Northern Ireland,RM,71
5365,La Mantia,Andrea La Mantia,Italy,ST,70
5366,Helenius,Nicklas Helenius,Denmark,ST,67
5367,Kusk,Kasper Kusk,Denmark,RW,71
5368,Ankersen,Jakob Ankersen,Denmark,LM,69
5369,Nielsen,Mathias Nielsen,Denmark,CB,64
5370,Gytkjær,Christian Gytkjær,Denmark,ST,72
5371,Žulj,Robert Žulj,Austria,CAM,72
5372,Leali,Nicola Leali,Italy,GK,70
5373,Høegh,Daniel Høegh,Denmark,CB,68
5374,Kadrii,Bashkim Kadrii,Denmark,ST,72
5375,Ciano,Camillo Ciano,Italy,ST,74
5376,Sørensen,Frederik Sørensen,Denmark,CB,72
5377,Boyce,Liam Boyce,United Kingdom of Great Britain and Northern Ireland,ST,68
5378,Iacobucci,Alessandro Iacobucci,Italy,GK,67
5379,Kempin,Jon Kempin,United States of America,GK,65
5380,Abu,Mohammed Abu,Ghana,CDM,68
5381,Pardo,José Antonio Pardo Lucas,Spain,CB,67
5382,Matos,Ryder Matos,Brazil,RW,72
5383,Mclean,Kenny McLean,United Kingdom of Great Britain and Northern Ireland,CM,72
5384,Tallo,Junior Tallo,Côte d'Ivoire,ST,66
5385,Campabadal,Eduard Campabadal Claros,Spain,RB,66
5386,Álvaro,Álvaro Vázquez García,Spain,ST,70
5387,D'Elia,Salvatore D'Elia,Italy,LB,67
5388,Shaw,Gary Shaw,Ireland,ST,59
5389,Van Der Bruggen,Hannes Van Der Bruggen,Belgium,CDM,72
5390,Moncur,George Moncur,United Kingdom of Great Britain and Northern Ireland,CM,67
5391,Lletget,Sebastian Lletget,United States of America,CM,71
5392,Oliver,Vadaine Oliver,United Kingdom of Great Britain and Northern Ireland,ST,59
5393,Gartland,Brian Gartland,Ireland,CB,64
5394,Mceleney,Patrick McEleney,Ireland,CAM,67
5395,Mccrudden,Michael McCrudden,United Kingdom of Great Britain and Northern Ireland,ST,56
5396,Juankar,Juan Carlos Pérez López,Spain,LB,72
5397,Kachunga,Elias Kachunga,Congo (Democratic Republic of the),RW,70
5398,Kike Márquez,Enrique Márquez Climent,Spain,CAM,71
5399,Deplagne,Mathieu Deplagne,France,RB,67
5400,Laursen,Ryan Johnson Laursen,Denmark,RWB,67
5401,Kim Young Gwon,Young Gwon Kim,Korea (Republic of),CB,70
5402,Capuano,Marco Capuano,Italy,CB,72
5403,Martella,Bruno Martella,Italy,LB,70
5404,Jüllich,Nicolas Jüllich,Germany,CM,62
5405,Julienne,Franck Julienne,France,LW,64
5406,Nikolic,Nemanja Nikolic,Hungary,ST,73
5407,Baráth,Botond Baráth,Hungary,CB,70
5408,Quintero,César Quintero,Colombia,RM,71
5409,Riedel,Julian Riedel,Germany,CB,66
5410,Musa,Ahmed Musa,Nigeria,LM,73
5411,Dussenne,Noë Dussenne,Belgium,CB,67
5412,Bostyn,Louis Bostyn,Belgium,GK,67
5413,Teibert,Russell Teibert,Canada,CM,67
5414,Bendik,Joe Bendik,United States of America,GK,65
5415,Attinella,Jeff Attinella,United States of America,GK,67
5416,Omoijuanfo,Ohi Omoijuanfo,Norway,ST,71
5417,Møller Dæhli,Mats Møller Dæhli,Norway,LM,72
5418,Alejandro Rodríguez,Alejandro Rodríguez de Miguel,Spain,ST,71
5419,Johnson,Daniel Johnson,Jamaica,CM,70
5420,Berisha,Veton Berisha,Norway,ST,68
5421,Tadic,Dario Tadic,Austria,ST,65
5422,Fagundez,Diego Fagundez,Uruguay,CAM,72
5423,Winchester,Carl Winchester,United Kingdom of Great Britain and Northern Ireland,CM,65
5424,Wisdom,Andre Wisdom,United Kingdom of Great Britain and Northern Ireland,RB,69
5425,Camporese,Michele Camporese,Italy,CB,70
5426,Sylla,Yacouba Sylla,Mali,CDM,70
5427,Ajose,Nicky Ajose,United Kingdom of Great Britain and Northern Ireland,ST,64
5428,Qasmi,Yacine Qasmi,Morocco,ST,66
5429,Kraus,Kevin Kraus,Germany,CB,68
5430,Kim Dong Woo,Dong Woo Kim,Korea (Republic of),CB,63
5431,Kim Jin Hyeon,Jin Hyeon Kim,Korea (Republic of),GK,68
5432,Macmath,Zac MacMath,United States of America,GK,66
5433,Amankwaa,Danny Amankwaa,Denmark,RM,61
5434,Haïdara,Massadio Haïdara,France,LB,67
5435,Ebanks-Landell,Ethan Ebanks-Landell,United Kingdom of Great Britain and Northern Ireland,CB,65
5436,Thern,Simon Thern,Sweden,CM,70
5437,Søderlund,Alexander Søderlund,Norway,ST,71
5438,Wikheim,Gustav Wikheim,Norway,LW,71
5439,Ienaga,Akihiro Ienaga,Japan,RM,71
5440,Parzyszek,Piotr Parzyszek,Poland,ST,67
5441,Nadj,Alexander Nadj,Sweden,GK,57
5442,Erik Morán,Erik Morán Arribas,Spain,CDM,71
5443,Tveter,Alexander Ruud Tveter,Norway,ST,62
5444,Flanagan,Jon Flanagan,United Kingdom of Great Britain and Northern Ireland,LB,67
5445,Herrem,Geir André Herrem,Norway,ST,66
5446,Landre,Loïck Landre,France,CB,73
5447,Lopes,Roberto Lopes,Ireland,CB,62
5448,Hernandez,Onel Hernandez,Germany,LM,73
5449,Mclaughlin,Stephen McLaughlin,Ireland,RM,65
5450,Benezet,Nicolas Benezet,France,LM,73
5451,Demir,Erdin Demir,Sweden,LB,68
5452,Yasin,Ahmed Yasin,Iraq,RW,68
5453,Holmberg,Karl Holmberg,Sweden,ST,68
5454,Bruns,Thomas Bruns,Netherlands,CM,69
5455,Afobe,Benik Afobe,Congo (Democratic Republic of the),ST,71
5456,Miyaichi,Ryo Miyaichi,Japan,RM,68
5457,Bergström,Emil Bergström,Sweden,CB,70
5458,Arias,Luis Carlos Arias,Colombia,LM,67
5459,Fernández,José Luis Fernández,Argentina,LM,71
5460,Zavaleta,Eriq Zavaleta,United States of America,CB,67
5461,Valentin,Zarek Valentin,Puerto Rico,LB,70
5462,Bruin,Will Bruin,United States of America,ST,69
5463,Blazevic,Davor Blazevic,Sweden,GK,59
5464,Klonaridis,Viktor Klonaridis,Belgium,RM,69
5465,John,Ola John,Netherlands,RM,73
5466,Yu Hai,Hai Yu,China,LB,68
5467,Li Jianbin,Jianbin Li,China,CB,63
5468,Knoll,Marvin Knoll,Germany,CDM,73
5469,Morales,Alfredo Morales,United States of America,CM,72
5470,Odubajo,Moses Odubajo,United Kingdom of Great Britain and Northern Ireland,RB,69
5471,Ostrzolek,Matthias Ostrzolek,Germany,LB,72
5472,Haakenstad,Mats Haakenstad,Norway,RB,63
5473,Aneke,Chuks Aneke,United Kingdom of Great Britain and Northern Ireland,ST,67
5474,Bonham,Jack Bonham,Ireland,GK,63
5475,Ralph,Nathan Ralph,United Kingdom of Great Britain and Northern Ireland,LB,64
5476,Cousins,Jordan Cousins,United Kingdom of Great Britain and Northern Ireland,CDM,66
5477,Khalili,Abdul Khalili,Sweden,CAM,71
5478,Behich,Aziz Behich,Australia,LB,72
5479,Anibaba,Jalil Anibaba,United States of America,CB,68
5480,Kitchen,Perry Kitchen,United States of America,CDM,68
5481,Jug,Ažbe Jug,Slovenia,GK,65
5482,Boxall,Michael Boxall,New Zealand,CB,67
5483,Williams,Josh Williams,United States of America,CB,68
5484,Vilhjálmsson,Matthías Vilhjálmsson,Iceland,ST,70
5485,Ismail,Zeli Ismail,United Kingdom of Great Britain and Northern Ireland,RM,64
5486,Riski,Riku Riski,Finland,RW,66
5487,Plata,Joao Plata,Ecuador,LW,72
5488,Long,George Long,United Kingdom of Great Britain and Northern Ireland,GK,67
5489,Haraldseid,Kristoffer Haraldseid,Norway,RB,66
5490,Petratos,Dimitri Petratos,Australia,RM,69
5491,Willis,Joe Willis,United States of America,GK,66
5492,Sapong,CJ Sapong,United States of America,ST,69
5493,Meram,Justin Meram,Iraq,LM,69
5494,Jimenez,Hector Jimenez,United States of America,LB,67
5495,Muralha,Luiz Philipe Lima de Oliveira,Brazil,CDM,69
5496,Carrasco,Servando Carrasco,United States of America,CDM,64
5497,Meredith,Bryan Meredith,United States of America,GK,61
5498,Ødegaard,Magnar Ødegaard,Norway,CB,66
5499,Gogia,Akaki Gogia,Germany,RW,70
5500,Zoller,Simon Zoller,Germany,ST,71
5501,Kim Soo Beom,Soo Beom Kim,Korea (Republic of),LB,64
5502,Kim Ho Nam,Ho Nam Kim,Korea (Republic of),RM,69
5503,Im Seon Yeong,Seon Yeong Im,Korea (Republic of),CM,68
5504,Lee Seung Gi,Seung Gi Lee,Korea (Republic of),CM,71
5505,Bolger,Cian Bolger,Ireland,CB,62
5506,Næss,Nicolai Næss,Norway,CB,66
5507,Sak,Mehmet Sak,Turkey,LB,62
5508,Erdal,Ziya Erdal,Turkey,LB,71
5509,Riksvold,Kim Ove Riksvold,Norway,RW,60
5510,Offenbacher,Daniel Offenbacher,Austria,CDM,64
5511,William,William Alves de Oliveira,Brazil,ST,71
5512,Arias,Diego Arias,Colombia,CDM,68
5513,Flint,Aden Flint,United Kingdom of Great Britain and Northern Ireland,CB,73
5514,Hernán,Hernán Santana Trujillo,Spain,CM,67
5515,Woodyard,Alex Woodyard,United Kingdom of Great Britain and Northern Ireland,CM,66
5516,Wood,Bobby Wood,United States of America,ST,71
5517,Tjørnelund,Jacob Tjørnelund,Denmark,LB,61
5518,Calvano,Simone Calvano,Italy,CM,65
5519,Pernica,Luděk Pernica,Czech Republic,CB,73
5520,Verhoek,John Verhoek,Netherlands,ST,66
5521,Koopmans,Luuk Koopmans,Netherlands,GK,65
5522,Foor,Navarone Foor,Netherlands,CM,70
5523,Drost,Jesper Drost,Netherlands,CAM,66
5524,Clark,Jordan Clark,United Kingdom of Great Britain and Northern Ireland,RM,65
5525,Towell,Richie Towell,Ireland,CM,69
5526,Bingham,David Bingham,United States of America,GK,68
5527,Aníbal Capela,Aníbal Araújo Capela,Portugal,CB,69
5528,Javi Espinosa,Javier Espinosa González,Spain,CAM,71
5529,Rodman,Alex Rodman,United Kingdom of Great Britain and Northern Ireland,RM,64
5530,Bisoli,Dimitri Bisoli,Italy,CM,71
5531,Carroll,Tom Carroll,United Kingdom of Great Britain and Northern Ireland,CM,71
5532,David Juncà,David Juncà Reñé,Spain,LB,73
5533,Hartherz,Florian Hartherz,Germany,LB,69
5534,Ardizzone,Francesco Ardizzone,Italy,CM,65
5535,Wernitznig,Christopher Wernitznig,Austria,RM,66
5536,Borja Granero,Borja Granero Niñerola,Spain,CB,68
5537,May,Stevie May,United Kingdom of Great Britain and Northern Ireland,ST,66
5538,Ruffels,Josh Ruffels,United Kingdom of Great Britain and Northern Ireland,LB,64
5539,Alvaro Rey,Álvaro Rey Vázquez,Spain,RM,65
5540,Doughty,Michael Doughty,United Kingdom of Great Britain and Northern Ireland,CM,65
5541,Larsen,Kristoffer Larsen,Norway,LM,65
5542,Röcher,Thorsten Röcher,Austria,LM,68
5543,Reijnen,Etiënne Reijnen,Netherlands,CB,69
5544,Jota,Jose Ignacio Peleteiro Ramallo,Spain,RW,73
5545,Bahebeck,Jean-Christophe Bahebeck,France,ST,72
5546,Furu,Ivar Erlien Furu,Norway,CB,61
5547,Ulvestad,Pål Erik Ulvestad,Norway,CDM,63
5548,Orozco,Yohandry Orozco,Venezuela (Bolivarian Republic of),LW,72
5549,Maurer,Jimmy Maurer,United States of America,GK,64
5550,Abd Elhamed,Hatem Abd Elhamed,Israel,RB,70
5551,De Vitis,Alessandro De Vitis,Italy,CB,66
5552,Miloševic,Alexander Miloševic,Sweden,CB,71
5553,Manuel Sánchez,Manuel Sánchez López,Spain,CDM,66
5554,Boateng,Richard Boateng,Ghana,CM,69
5555,Kochenkov,Anton Kochenkov,Russian Federation,GK,68
5556,Alex Martínez,Alejandro Martínez Sánchez,Spain,LB,73
5557,Söderqvist,Måns Söderqvist,Sweden,ST,63
5558,Boysen,David Boysen,Denmark,RM,64
5559,Horgan,Daryl Horgan,Ireland,RM,70
5560,Taggart,Adam Taggart,Australia,ST,71
5561,Risdon,Josh Risdon,Australia,RB,71
5562,Wells,Nahki Wells,Bermuda,ST,70
5563,Crooks,Matt Crooks,United Kingdom of Great Britain and Northern Ireland,CM,65
5564,Urko Vera,Urko Vera Mateos,Spain,ST,64
5565,Abdón Prats,Abdón Prats Bastidas,Spain,ST,70
5566,Razak,Abdul Razak,Côte d'Ivoire,CM,63
5567,Mendes,Joseph Mendes,Guinea-Bissau,ST,64
5568,Bowles,Daniel Bowles,Australia,CB,63
5569,Mccormack,Conor McCormack,Ireland,CDM,63
5570,Kim Oh Gyu,Oh Gyu Kim,Korea (Republic of),CB,68
5571,Râpa,Cornel Râpa,Romania,RB,67
5572,Stokke,Benjamin Stokke,Norway,ST,63
5573,Ripley,Connor Ripley,United Kingdom of Great Britain and Northern Ireland,GK,68
5574,Newell,Joe Newell,United Kingdom of Great Britain and Northern Ireland,LM,68
5575,Sánchez,Richard Sánchez,Mexico,GK,64
5576,Ntlhe,Kgosi Ntlhe,South Africa,LB,63
5577,Graham,Jordan Graham,United Kingdom of Great Britain and Northern Ireland,LM,65
5578,Li Ke,Ke Li,China,CM,67
5579,Mcdermott,Sean McDermott,Ireland,GK,70
5580,Byrne,Nathan Byrne,United Kingdom of Great Britain and Northern Ireland,RB,69
5581,Forrester,Chris Forrester,Ireland,CM,63
5582,Battocchio,Cristian Battocchio,Italy,CM,70
5583,Carroll,Jake Carroll,Ireland,LB,58
5584,Peñailillo,Nicolás Peñailillo,Chile,LB,66
5585,Mezquida,Nicolás Mezquida,Uruguay,CAM,65
5586,Müller,Kevin Müller,Germany,GK,71
5587,Buckley,Keith Buckley,Ireland,CDM,60
5588,Rivera,Édson Rivera,Mexico,ST,68
5589,Öztürk,Alpaslan Öztürk,Belgium,CDM,68
5590,Riski,Roope Riski,Finland,ST,65
5591,Nyman,Christoffer Nyman,Sweden,ST,71
5592,Mitov Nilsson,David Mitov Nilsson,Macedonia (the former Yugoslav Republic of),GK,68
5593,Ericsson,Jacob Ericsson,Sweden,LB,62
5594,Maholli,Shkodran Maholli,Sweden,ST,63
5595,Kebano,Neeskens Kebano,Congo (Democratic Republic of the),LW,70
5596,Kim Jun Yub,Jun Yub Kim,Korea (Republic of),RM,63
5597,Park Jin Po,Jin Po Park,Korea (Republic of),RM,67
5598,Choi Hyun Tae,Hyun Tae Choi,Korea (Republic of),CM,61
5599,Choi Bo Kyung,Bo Kyung Choi,Korea (Republic of),CB,66
5600,Yun Il Lok,Il Lok Yun,Korea (Republic of),LM,66
5601,Jung Seung Yong,Seung Yong Jung,Korea (Republic of),LB,66
5602,Kwon Tae Ahn,Tae Ahn Kwon,Korea (Republic of),GK,59
5603,Sin Se Gye,Se Gye Sin,Korea (Republic of),RB,67
5604,Cho Ji Hun,Ji Hun Cho,Korea (Republic of),CM,63
5605,Lee Jong Sung,Jong Sung Lee,Korea (Republic of),CB,66
5606,Min Sang Gi,Sang Gi Min,Korea (Republic of),CB,66
5607,Sin Jin Ho,Jin Ho Sin,Korea (Republic of),CM,72
5608,Ryu Won Woo,Won Woo Ryu,Korea (Republic of),GK,66
5609,Han Kyo Won,Kyo Won Han,Korea (Republic of),RM,68
5610,Kim Kee Hee,Kee Hee Kim,Korea (Republic of),CB,70
5611,Yang Han Been,Han Been Yang,Korea (Republic of),GK,70
5612,Lee Woong Hee,Woong Hee Lee,Korea (Republic of),CB,65
5613,Cole,Darren Cole,United Kingdom of Great Britain and Northern Ireland,CB,60
5614,Filipović,Petar Filipović,Germany,CB,69
5615,Day,Joe Day,United Kingdom of Great Britain and Northern Ireland,GK,66
5616,O'Halloran,Michael O'Halloran,United Kingdom of Great Britain and Northern Ireland,RM,66
5617,Riley,Joe Riley,United Kingdom of Great Britain and Northern Ireland,RB,65
5618,Vela,Josh Vela,United Kingdom of Great Britain and Northern Ireland,CM,68
5619,Tunnicliffe,Ryan Tunnicliffe,United Kingdom of Great Britain and Northern Ireland,CM,68
5620,Charles-Cook,Reice Charles-Cook,United Kingdom of Great Britain and Northern Ireland,GK,61
5621,Ibini,Bernie Ibini,Australia,RM,64
5622,Gannon,Sean Gannon,Ireland,RB,66
5623,Segbefia,Prince Segbefia,Togo,CM,66
5624,Jansson,Robin Jansson,Sweden,CB,66
5625,Scowen,Josh Scowen,United Kingdom of Great Britain and Northern Ireland,CDM,69
5626,Stewart,Anthony Stewart,United Kingdom of Great Britain and Northern Ireland,CB,64
5627,Taft,George Taft,United Kingdom of Great Britain and Northern Ireland,CB,61
